#styr																																														
1978																																														
#endyr																																														
2024																																														
#rec_age																																														
3																																														
#n_ages																																														
20																																														
#nbins																																														
31																																														
#lengthbin																																														
45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195																
#Fnum																																														
2																																														
#Fnames																																														
Ind_Chile%Art_Chile																																														
#Fcaton																																														
0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1363	2406	5191	19420	13002	10747	7924	1290	4716	4957	3688	3646	2062	2109	1109	2079	1991	2004	1974	2154	2345	2988	2298	2382	2199	1037	1212	1325	1483	1325	1305	1226	1609	1540	1411	1400
38.3	101.2	414	334	348	1391	2470	4560	3925	3492	3530	4744	6155	4236	4700	4675	5630	3969	4442	3538	4375	5787	5223	3592	4565	4742	3419	3278	2091	2090	1558	1681	1467	2189	2069	1575	1167	1391	1838	2125	2821	1754	928	1852	1983	2471	1800
#Fcatonerr																																														
0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
#FnumyearsA																																														
17																																														
17																																														
#FnumyearsL																																														
28																																														
12																																														
#Fageyears																																														
2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023																														
2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023																														
#Flenyears																																														
1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024																			
2011	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	
#FageSample																																														
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																														
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																														
#FlenSample																																														
202	521	342	156	61	197	118	35	331	572	597	903	949	552	748	499	477	525	360	343	254	481	450	306	326	213	353	326																			
2	8	12	12	1	3	27	2	8	10	45	71																																			
#FageComp1	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20																													
0	33	1114	5846	10910	13511	17910	20789	22000	21873	19481	17311	13425	13226	7752	10449	2933	17530																													
6	9	175	1245	14557	17744	23900	22303	20058	21610	22315	13596	11054	7166	7830	6259	5291	33583																													
0	0	0	149	2034	7267	9618	16716	13692	27039	19582	15698	9431	7794	6005	4606	5687	49140																													
0	0	0	2239	10596	15647	18239	18300	22018	19314	18307	18858	12643	10982	9624	5889	5630	52348																													
0	0	6	1246	8882	10073	12374	14302	12834	16127	17172	10048	8304	7082	6812	4617	3415	34749																													
0	0	0	669	8280	15039	12708	10098	10105	8879	9190	9722	8690	5799	4252	3954	3610	40901																													
0	8	29	2137	12015	21977	18374	11919	8570	8967	8533	8024	6517	3506	4154	4159	3694	36497																													
0	0	0	129	2007	5384	5969	4609	3763	3291	3822	4231	3606	2811	1547	2337	1808	21861																													
0	0	0	117	3124	9116	11139	7258	4255	3860	4298	3919	2872	2548	1746	1719	1574	18199																													
0	0	0	56	1745	7097	12004	10218	7417	5396	5516	4190	3816	2774	2111	2217	1924	23151																													
0	52	105	354	1234	3005	5677	7084	4413	6048	5143	3908	2263	2709	2562	2194	2485	24219																													
0	0	0	306	1875	2350	3554	6452	4886	4045	4470	2519	2603	2212	2906	1904	2055	26706																													
0	0	0	301	3006	3388	3087	4458	3987	4363	3770	3252	2944	2288	2488	2071	2858	26888																													
0	0	110	2139	6182	8681	7341	5594	4475	3705	3150	3203	2381	2355	1912	2278	2360	22904																													
0	0	1	261	1537	4685	4954	3831	3044	1734	2916	2382	2438	2514	2234	2789	1834	30340																													
0	0	0	110	801	2203	2602	2114	2046	2012	1937	1964	1740	1937	1821	1721	2010	29804																													
0	0	0	232	1331	3479	5539	5306	4394	3116	2643	2988	2210	1833	2206	2406	2177	24705																													
#FageComp2																																														
0	0	807	3862	6204	7639	12312	13699	15342	15887	13759	13334	9602	10123	5490	6281	1374	7793																													
0	0	518	6284	37740	46977	38645	31383	16967	6791	6645	2848	3201	2179	1093	1564	1888	3821																													
0	0	0	8876	32678	59315	45178	28049	15604	9488	6323	3005	2090	702	665	2647	1318	8131																													
0	0	334	11037	36247	38672	39239	27592	14665	12277	7566	3254	2656	1140	898	1112	921	5190																													
0	0	802	49977	135015	83489	38114	20136	13518	8717	7074	4036	1952	1802	1355	889	868	10611																													
0	0	216	14150	73094	77819	36438	26992	10658	8142	7010	5816	4178	2108	2176	1047	726	14462																													
0	0	0	14549	64050	76037	38648	15722	6351	5014	5470	2926	2662	1036	875	1608	537	5673																													
0	17	0	8022	44356	60640	35915	14082	7188	2774	4742	2364	1546	1086	1317	903	1383	7982																													
0	0	0	1214	22312	44500	33213	17917	7775	4524	3279	1485	653	740	758	610	537	11134																													
0	0	0	9807	40095	63541	47121	32085	12629	8701	8598	6379	1796	2561	1064	1597	1346	7507																													
0	0	5	14404	41231	54814	48661	40304	22443	11472	8771	6960	3674	2075	1020	2549	1483	9247																													
0	0	0	28699	116536	69319	54727	40783	25006	13371	10521	5509	3520	1318	4256	2528	1951	17199																													
0	0	0	6246	46837	42880	22752	10730	8498	6761	5897	4979	3325	1382	1397	1810	2425	19854																													
0	0	3	909	17630	33791	17438	9094	4731	3408	2036	1617	1362	1196	1040	1029	1150	11591																													
0	0	26	1366	23136	60171	57342	23065	9497	3699	2267	2429	1757	1928	327	1379	2486	16224																													
0	2781	20819	46907	54052	27196	9306	5391	2573	1598	1574	1585	832	1361	1129	2041	1227	18476																													
0	0	0	5463	31432	45457	49505	41742	17219	11570	4374	1300	1925	310	408	2470	2221	22502																													
#FlenComp1																																														
0	3	11	32	44	70	104	232	450	714	819	954	935	965	798	533	333	200	113	69	66	44	36	16	12	5	3	2	2	0	0																
